4112: [(34, 5.0), (50, 5.0), (231, 5.0), (508, 5.0), (515, 5.0), (572, 5.0), (594, 5.0), (858, 5.0), (899, 5.0), (905, 5.0)]
4242: [(14, 5.0), (539, 5.0), (553, 5.0), (596, 5.0), (848, 5.0), (1033, 5.0), (1035, 5.0), (1056, 5.0), (1193, 5.0), (1233, 5.0)]
5624: [(163, 5.0), (186, 5.0), (322, 5.0), (714, 5.0), (735, 5.0), (1022, 5.0), (1218, 5.0), (1571, 5.0), (1642, 5.0), (1836, 5.0)]
3578: [(14, 4.543617854342874), (52, 4.543617854342874), (175, 4.543617854342874), (211, 4.543617854342874), (481, 4.543617854342874), (492, 4.543617854342874), (534, 4.543617854342874), (535, 4.543617854342874), (556, 4.543617854342874), (596, 4.543617854342874)]
2405: [(17, 5.0), (28, 5.0), (36, 5.0), (43, 5.0), (50, 5.0), (62, 5.0), (73, 5.0), (123, 5.0), (145, 5.0), (150, 5.0)]
5065: [(678, 5.0), (921, 5.0), (1089, 5.0), (1207, 5.0), (1238, 5.0), (1293, 5.0), (2303, 5.0), (2991, 5.0), (3019, 5.0), (3152, 5.0)]
94: [(14, 5.0), (16, 5.0), (17, 5.0), (25, 5.0), (29, 5.0), (30, 5.0), (32, 5.0), (36, 5.0), (43, 5.0), (50, 5.0)]
2739: [(1689, 5.0), (2359, 4.963207547167884), (2423, 4.963207547167884), (222, 4.9245614035066065), (955, 4.9245614035066065), (994, 4.9245614035066065), (1035, 4.9245614035066065), (1188, 4.9245614035066065), (1277, 4.9245614035066065), (1834, 4.9245614035066065)]
108: [(597, 4.791666666664552), (2117, 4.791666666664552), (1263, 4.645902276674425), (1035, 4.578625954196548), (599, 4.511340206183684), (1178, 4.511340206183684), (1204, 4.511340206183684), (1283, 4.511340206183684), (2140, 4.511340206183684), (529, 4.489999999998309)]
4353: [(456, 5.0), (1060, 5.0), (1078, 5.0), (1136, 5.0), (1923, 5.0), (2193, 5.0), (2312, 5.0), (2314, 5.0), (2395, 5.0), (2660, 5.0)]
3083: [(35, 5.0), (97, 5.0), (148, 5.0), (154, 5.0), (167, 5.0), (213, 5.0), (247, 5.0), (299, 5.0), (322, 5.0), (331, 5.0)]
3679: [(520, 5.0), (1086, 5.0), (1939, 5.0), (1946, 5.0), (1950, 5.0), (1957, 5.0), (2471, 5.0), (2583, 5.0), (2782, 5.0), (2966, 5.0)]
3917: [(2, 5.0), (7, 5.0), (69, 5.0), (118, 5.0), (144, 5.0), (147, 5.0), (155, 5.0), (209, 5.0), (260, 5.0), (289, 5.0)]
4510: [(3801, 4.2325865580415805), (741, 3.906896551721692), (1769, 3.906896551721692), (2810, 3.906896551721692), (3000, 3.906896551721692), (2014, 3.761688311686078), (2621, 3.761688311686078), (3386, 3.747494396813509), (1615, 3.7221172944528176), (824, 3.6595959595937595)]
3088: [(50, 5.0), (62, 5.0), (70, 5.0), (101, 5.0), (145, 5.0), (224, 5.0), (230, 5.0), (231, 5.0), (262, 5.0), (281, 5.0)]
3111: [(18, 5.0), (29, 5.0), (166, 5.0), (886, 5.0), (1034, 5.0), (1570, 5.0), (1759, 5.0), (1785, 5.0), (2076, 5.0), (2160, 5.0)]
82: [(29, 5.0), (111, 5.0), (168, 5.0), (348, 5.0), (436, 5.0), (1028, 5.0), (1035, 5.0), (1083, 5.0), (1199, 5.0), (1207, 5.0)]
5509: [(94, 5.0), (97, 5.0), (180, 5.0), (190, 5.0), (249, 5.0), (293, 5.0), (322, 5.0), (501, 5.0), (578, 5.0), (649, 5.0)]
3616: [(28, 5.0), (337, 5.0), (412, 5.0), (428, 5.0), (449, 5.0), (535, 5.0), (551, 5.0), (745, 5.0), (1092, 5.0), (1199, 5.0)]
3193: [(916, 5.0), (1203, 5.0), (1300, 5.0), (2063, 5.0), (3545, 5.0), (213, 4.934883720928332), (3181, 4.934883720928332), (3879, 4.786335403724869), (909, 4.767785234897475), (1649, 4.767785234897475)]
4142: [(999, 4.9749999999982215), (3153, 4.661799463459976), (198, 4.576237623760991), (2686, 4.576237623760991), (1272, 4.570370370368994), (2770, 4.570370370368994), (1222, 4.550515463916174), (597, 4.479569892471831), (1670, 4.479569892471831), (3148, 4.479569892471831)]
3263: [(436, 5.0), (616, 5.0), (914, 5.0), (1031, 5.0), (1193, 5.0), (1228, 5.0), (1262, 5.0), (1281, 5.0), (1302, 5.0), (1654, 5.0)]
1851: [(861, 5.0), (2019, 5.0), (3730, 5.0), (353, 4.907482993195534), (1476, 4.907482993195534), (2017, 4.907482993195534), (3342, 4.907482993195534), (1879, 4.89999999999824), (2010, 4.89999999999824), (2360, 4.89999999999824)]
4664: [(213, 5.0), (324, 5.0), (427, 5.0), (475, 5.0), (515, 5.0), (596, 5.0), (663, 5.0), (953, 5.0), (1029, 5.0), (1060, 5.0)]
1518: [(1, 5.0), (3, 5.0), (7, 5.0), (16, 5.0), (17, 5.0), (24, 5.0), (28, 5.0), (36, 5.0), (44, 5.0), (50, 5.0)]
2203: [(28, 5.0), (31, 5.0), (89, 5.0), (105, 5.0), (180, 5.0), (187, 5.0), (193, 5.0), (230, 5.0), (260, 5.0), (280, 5.0)]
1423: [(35, 5.0), (57, 5.0), (97, 5.0), (148, 5.0), (167, 5.0), (265, 5.0), (331, 5.0), (345, 5.0), (365, 5.0), (385, 5.0)]
